"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강남구","2018-07-26 08:00","0.005","0.3","0.011","0.016","24","16",127.0473248,37.5172363
"강동구","2018-07-26 08:00","0.003","0.3","0.008","0.019","40","19",127.123762,37.5301251
"강북구","2018-07-26 08:00","0.003","0.3","0.006","0.020","40","26",127.0256575,37.6396099
"강서구","2018-07-26 08:00","0.004","0.2","0.012","0.020","32","19",126.8495382,37.5509786
"관악구","2018-07-26 08:00","0.004","0.3","0.026","0.015","27","23",126.9516133,37.4784063
"광진구","2018-07-26 08:00","0.008","0.6","0.006","0.017","30","21",127.0822938,37.5384843
"구로구","2018-07-26 08:00","0.005","0.2","0.017","0.020","30","11",126.887369,37.4954031
"금천구","2018-07-26 08:00","0.004","0.3","0.009","0.020","35","23",126.9020358,37.4518527
"노원구","2018-07-26 08:00","0.005","0.4","0.008","0.020","35","23",127.056793,37.6541917
"도봉구","2018-07-26 08:00","0.005","0.5","0.005","0.021","34","23",127.0470706,37.6687738
"동대문구","2018-07-26 08:00","0.007","0.6","0.011","0.021","32","25",127.0400189,37.5743682
"동작구","2018-07-26 08:00","0.004","0.4","0.010","0.021","39","20",126.9392525,37.512402
"마포구","2018-07-26 08:00","-","-","-","-","-","-",126.9084211,37.5637561
"서대문구","2018-07-26 08:00","0.004","0.6","0.012","0.013","29","17",NA,NA
"서초구","2018-07-26 08:00","0.004","0.2","0.017","0.015","26","17",127.0324112,37.4837121
"성동구","2018-07-26 08:00","0.005","0.3","0.008","0.017","25","13",127.0371025,37.5633415
"성북구","2018-07-26 08:00","0.003","0.6","0.001","0.027","33","20",127.0182146,37.589116
"송파구","2018-07-26 08:00","0.004","0.6","0.011","0.018","27","16",127.1065971,37.5145437
"양천구","2018-07-26 08:00","0.003","0.3","0.010","0.021","36","24",126.8663985,37.5168721
"영등포구","2018-07-26 08:00","0.004","0.4","0.007","0.021","35","23",126.8962283,37.5263715
"용산구","2018-07-26 08:00","0.004","0.3","0.012","0.020","33","26",126.9654442,37.5384272
"은평구","2018-07-26 08:00","0.004","0.4","0.010","0.017","-","28",126.9291119,37.6026957
"종로구","2018-07-26 08:00","0.004","0.4","0.011","0.023","34","22",126.9793579,37.5729503
"중구","2018-07-26 08:00","0.004","0.4","0.010","0.024","39","24",126.9979403,37.5640907
"중랑구","2018-07-26 08:00","0.006","0.4","0.006","0.023","29","21",127.0926519,37.6065602
